ID,Name,Two Nights Cost USD,Location,Area,Rating,Reviews,Free_Cancellation,Free_Valet_Parking,Free_Breakfast,Free_WiFi,Fitness_Centre,Swimming_pool,Health_club,Bar,lon,lat
1,"The Langham, Chicago",1451.72,Downtown Chicago,Chicago,5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6273364,41.8884634
2,Waldorf Astoria Chicago,1175.46,Downtown Chicago,Chicago,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6272644,41.8998453
3,The Peninsula Chicago,1101.31,Downtown Chicago,Chicago,5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.62509674,41.89610651
4,Four Seasons Hotel Chicago,951.13,Downtown Chicago,Chicago,5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6251395,41.8993748
5,"The Ritz-Carlton, Chicago",899.07,Downtown Chicago,Chicago,4.5,Excellent,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.622398,41.8977726
6,The Guesthouse Hotel,899.07,Chicago (Uptown) Chicago,Chicago,5,Excellent,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.6680244,41.9708142
7,Hyatt House Chicago Medical/University District,818.96,United Center Chicago,Chicago,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6729442,41.8737831
8,Hyatt Place Chicago Medical/University District,798.95,United Center Chicago,Chicago,4,Very Good,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.6729442,41.8737831
9,Thompson Chicago,778.91,900 North Michigan Shops Chicago,Chicago,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6274861,41.9013417
10,Park Hyatt - Chicago,750.88,Downtown Chicago,Chicago,4.5,Excellent,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,-87.6255019,41.8971181
11,Hyatt Regency McCormick Place,738.88,Museum Campus Chicago,Chicago,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6177894,41.8521395
12,Hyatt Centric The Loop Chicago,738.88,Downtown Chicago,Chicago,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6310932,41.8809159
13,Viceroy Chicago,722.99,Gold Coast Chicago,Chicago,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6287055,41.9024809
14,Ace Hotel Chicago,710.03,Chicago (Near West Side) Chicago,Chicago,5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6520361,41.8876139
15,"Hotel Zachary Chicago, a Tribute Portfolio Hotel",698.83,Wrigley Field Chicago,Chicago,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6572172,41.9478843
16,"Hotel EMC2, Autograph Collection",658.77,Water Tower Place Chicago,Chicago,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6215717,41.8935718
17,Hilton Chicago,628.75,Downtown Chicago,Chicago,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6246966,41.8725089
18,"The Blackstone, Autograph Collection",626.33,Downtown Chicago,Chicago,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6247443,41.8732819
19,Kimpton Hotel Palomar Chicago,625.38,Downtown Chicago,Chicago,4.5,Excellent,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6272784,41.8911337
20,Virgin Hotels Chicago,621.08,Downtown Chicago,Chicago,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6260006,41.886059
21,"The Gwen, a Luxury Collection Hotel, Michigan Avenue Chicago",618.73,Chicago Riverwalk Chicago,Chicago,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6252649,41.8911003
22,Chicago Athletic Association,618.72,Downtown Chicago,Chicago,4.5,Excellent,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,-87.6247177,41.8816642
23,JW Marriott Chicago,608.73,Downtown Chicago,Chicago,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6328322,41.8793371
24,The Hoxton Chicago,601.92,Civic Opera House Chicago,Chicago,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.64877012,41.88625662
25,Sophy Hyde Park,593.8,Museum Campus Chicago,Chicago,5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.5913111,41.7992928
26,St. Jane Chicago,590.69,Suburb Chicago,Chicago,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.7731558,41.7976765
27,W Chicago - City Center,558.65,Downtown Chicago,Chicago,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6332144,41.8795207
28,The Tremont Chicago Hotel at Magnificent Mile,540.63,Water Tower Place Chicago,Chicago,3.5,Very Good,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.6256013,41.8984939
29,Residence Inn Marriott Chicago Midway,539.64,the business district Chicago,Chicago,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.7462111,41.7713717
30,W Chicago - Lakeshore,528.63,Downtown Chicago,Chicago,4,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6153104,41.8936517
31,Hyatt Place Chicago/Wicker Park,518.62,Chicago (West Town) Chicago,Chicago,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6672841,41.9103888
32,Hotel Lincoln,518.62,Lincoln Park Chicago,Chicago,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6343888,41.9152875
33,Residence Inn Chicago Downtown/Loop,518.61,Downtown Chicago,Chicago,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6321003,41.8815897
34,Renaissance Chicago Downtown Hotel,508.59,Downtown Chicago,Chicago,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6283129,41.8862002
35,DoubleTree by Hilton Chicago Midway Airport,507.59,Chicago Midway Airport Chicago,Chicago,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.7452617,41.7721746
36,Omni Chicago Suites - Magnificent Mile,498.61,Water Tower Place Chicago,Chicago,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6248791,41.8947765
37,Marriott Marquis Chicago,498.58,Museum Campus Chicago,Chicago,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6205363,41.8540186
38,Kimpton Hotel Monaco Chicago,485.83,Downtown Chicago,Chicago,4.5,Excellent,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.626017,41.88642
39,"The Ambassador Chicago, a Joie de Vivre Hotel",478.98,John Hancock Center Chicago,Chicago,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6284696,41.9060542
40,Hyatt House Chicago West Loop,478.57,UIC Pavilion Chicago,Chicago,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6552641,41.8833088
41,Best Western Plus Hawthorne Terrace Hotel,478.57,Lincoln Park Chicago,Chicago,4.5,Excellent,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.645938,41.944129
42,Chicago South Loop Hotel,477.65,Museum Campus Chicago,Chicago,4,Very Good,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.62775613,41.84547122
43,Hyatt Regency Chicago,474.85,Downtown Chicago,Chicago,4,Very Good,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,-87.6218948,41.8875503
44,Holiday Inn & Suites Chicago - Downtown,469.86,Willis Tower Chicago,Chicago,4,Very Good,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.63993665,41.87477371
45,Pittsfield Apartments + Suites,466.66,Millennium Park Chicago,Chicago,3,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6256629,41.8830034
46,Chicago Marriott Downtown Magnificent Mile,465.56,Chicago Riverwalk Chicago,Chicago,4,Very Good,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.6245096,41.8921331
47,Sheraton Grand Chicago,458.54,Downtown Chicago,Chicago,4,Very Good,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.6193955,41.8891309
48,Royal Sonesta Chicago Riverfront,457.73,Downtown Chicago,Chicago,4,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6256673,41.8872366
49,Kimpton Gray Hotel,456.53,Grant Park Chicago,Chicago,4.5,Excellent,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.631813,41.8807674
50,Hilton Grand Vacations Chicago Downtown Magnificent Mile,449.82,Water Tower Place Chicago,Chicago,4,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6199219,41.8928046
51,Sonder - Essex on the Park,449.64,Grant Park Chicago,Chicago,4.5,Excellent,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6247987,41.87184279
52,Sofitel Chicago Magnificent Mile,443.41,Downtown Chicago,Chicago,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6273142,41.8985575
53,The Westin Michigan Avenue Chicago,438.53,John Hancock Center Chicago,Chicago,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6234555,41.8994023
54,Courtyard by Marriott Chicago Downtown River North,438.52,House of Blues Chicago Chicago,Chicago,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6275928,41.8902076
55,Kasa Chicago River North Apartments,429.8,Water Tower Place Chicago,Chicago,NA,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6289296,41.8954527
