ID,Name,Two Nights Cost USD,Location,Area,Rating,Reviews,Free_Cancellation,Free_Valet_Parking,Free_Breakfast,Free_WiFi,Fitness_Centre,Swimming_pool,Health_club,Bar,lon,lat
1,"Ambassador Hotel Wichita, Autograph Collection",450.56,INTRUST Bank Arena Wichita,Wichita,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.335437,37.6856695
2,Hyatt Regency Wichita,398.46,INTRUST Bank Arena Wichita,Wichita,4.5,Excellent,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.3419786,37.6824938
3,Springhill Suites Wichita Airport,358.44,Towne West Square Wichita,Wichita,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.4192476,37.6718962
4,Courtyard by Marriott Wichita At Old Town,322.58,INTRUST Bank Arena Wichita,Wichita,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.3279122,37.6899652
5,Homewood Suites by Hilton at The Waterfront,305.65,Towne East Square Wichita,Wichita,5,Excellent,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-97.2209287,37.7106873
6,Marriott Wichita,298.35,Towne East Square Wichita,Wichita,4,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.2307349,37.6822367
7,Fairfield Inn & Suites by Marriott Wichita Downtown,293.35,INTRUST Bank Arena Wichita,Wichita,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.33835981,37.68060529
8,Fairfield Inn & Suites by Marriott Wichita East,268.31,Towne East Square Wichita,Wichita,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.22808416,37.68046462
9,Towne Place Suites by Marriott Wichita East,258.31,KU Wichita Center For Healthcare Wichita,Wichita,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.2283146,37.7382346
10,DoubleTree by Hilton Hotel Wichita Airport,244.05,Airport Area Wichita,Wichita,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.4290016,37.6566705
11,"Hampton Inn & Suites-Wichita/Airport, KS",242.29,Towne West Square Wichita,Wichita,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.42642517,37.66606395
12,Hyatt Place Wichita State University,238.27,Wichita State University Wichita,Wichita,4.5,Excellent,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-97.28226,37.72028
13,Hilton Garden Inn Wichita Downtown,228.27,INTRUST Bank Arena Wichita,Wichita,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.333942,37.685832
14,Best Western Wichita North,228.25,Downtown Wichita,Wichita,4.5,Excellent,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-97.3270319,37.7805166
15,Holiday Inn Wichita East I-35,228.24,Wichita Wichita,Wichita,4,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.245432,37.677776
