ID,Name,Two Nights Cost USD,Location,Area,Rating,Reviews,Free_Cancellation,Free_Valet_Parking,Free_Breakfast,Free_WiFi,Fitness_Centre,Swimming_pool,Health_club,Bar,lon,lat
1,The Knickerbocker Hotel,2893.41,Midtown West New York,New York,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-73.9862701,40.7555831
2,The St. Regis New York,2612.07,Midtown East New York,New York,4.5,Excellent,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-73.9746128,40.7613979
3,Renaissance New York Times Square Hotel,2601.08,Midtown West New York,New York,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-73.9843876,40.7598399
4,The Mark,2452.89,Upper East Side New York,New York,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-73.9633994,40.7752711
5,The Peninsula New York,2392.83,Midtown East New York,New York,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-73.9753957,40.7616907
6,Four Seasons Hotel New York Downtown,2032.39,Midtown West New York,New York,4.5,Excellent,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-74.0091904,40.7126317
7,The Times Square EDITION,1938.54,Midtown West New York,New York,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-73.984164,40.759149
8,New York Marriott Marquis,1800.12,Midtown West New York,New York,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-73.9858202,40.7585862
9,The New York EDITION,1792.12,Midtown East New York,New York,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-73.9873577,40.741286
10,Merrion Row Hotel and Public House,1733.63,Midtown West New York,New York,5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-73.98353,40.75726
11,InterContinental - New York Times Square,1594.03,Midtown West New York,New York,4,Very Good,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-73.9893761,40.7586608
12,Millennium Premier New York Times Square,1496.17,Midtown West New York,New York,4,Very Good,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-73.984421,40.75692
13,Conrad New York Midtown,1462.71,Midtown West New York,New York,4,Very Good,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-73.9806007,40.7634658
14,"The Langham, New York, Fifth Avenue",1382.21,Midtown East New York,New York,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-73.9835325,40.7501438
15,Park Lane Hotel,1359.61,Midtown West New York,New York,4,Very Good,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-73.9752633,40.7650735
16,LYRIC | 70 Pine NYC,1349.79,Wall Street New York,New York,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-74.0077715,40.7065047
17,1 Hotel Central Park,1312.74,Midtown West New York,New York,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-73.9764648,40.7648084
18,The Dominick,1302.54,Soho / Tribeca / Chinatown New York,New York,4.5,Excellent,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-74.0053343,40.7254695
19,Lotte New York Palace,1276.49,Midtown East New York,New York,4.5,Excellent,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-73.9748712,40.7579744
20,"Le Meridien New York, Central Park",1238.85,Midtown West New York,New York,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-73.9784993,40.7645774
21,Park Central Hotel New York,1192.41,Midtown West New York,New York,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-73.9808964,40.7646072
22,HGU New York,1126.33,Midtown East New York,New York,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-73.9833113,40.7460146
23,JW Marriott Essex House New York,1119.73,Midtown West New York,New York,4,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-73.9785723,40.766277
