ID,Name,Two Nights Cost USD,Location,Area,Rating,Reviews,Free_Cancellation,Free_Valet_Parking,Free_Breakfast,Free_WiFi,Fitness_Centre,Swimming_pool,Health_club,Bar,lon,lat
1,"Fairmont Heritage Place, Ghirardelli Square",2063.44,Fishermans Wharf San Francisco,San Francisco,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4227434,37.8056229
2,Le Meridien San Francisco,1680.98,Financial District - Ferry Building San Francisco,San Francisco,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4007267,37.7947045
3,The St. Regis San Francisco,1223.21,Union Square Area San Francisco,San Francisco,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4014681,37.7861299
4,Loews Regency San Francisco,1176.4,Union Square Area San Francisco,San Francisco,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4007857,37.7924577
5,Four Seasons Hotel San Francisco,1106.3,Union Square Area San Francisco,San Francisco,4.5,Excellent,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-122.4044789,37.7866307
6,Hotel Drisco,1101.39,San Francisco (Pacific Heights) San Francisco,San Francisco,5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4432,37.79204
7,"The Ritz-Carlton, San Francisco",953.32,Union Square Area San Francisco,San Francisco,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4072756,37.7916201
8,Hyatt Centric Fisherman's Wharf San Francisco,899.07,Ghirardelli Square San Francisco,San Francisco,4,Very Good,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-122.4161179,37.8059283
9,San Francisco Proper Hotel,793.94,Orpheum Theater San Francisco,San Francisco,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4124106,37.780966
10,Fairmont San Francisco,782.12,Nob Hill San Francisco,San Francisco,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4104443,37.7923897
11,Sonder  Hayes Valley,701.82,San Francisco City Hall San Francisco,San Francisco,4,Very Good,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-122.4228267,37.7746245
12,Harbor Court Hotel,698.84,Financial District - Ferry Building San Francisco,San Francisco,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.3921793,37.7925886
13,Mansion on Sutter,650.78,San Francisco City Hall San Francisco,San Francisco,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4238528,37.7870775
14,"Palace Hotel, a Luxury Collection Hotel, San Francisco",646.96,San Francisco Museum of Modern Art San Francisco,San Francisco,4.5,Excellent,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4019021,37.7881241
15,Taj Campton Place,640.76,Union Square Area San Francisco,San Francisco,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4066335,37.7893052
16,Palihotel San Francisco,639.76,Union Square Area San Francisco,San Francisco,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4074224,37.7898098
17,"Laurel Inn, a Joie de Vivre Boutique Hotel",638.76,Kaiser Permanente Medical Center San Francisco,San Francisco,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4466154,37.7875944
18,Argonaut Hotel - a Noble House Hotel,638.76,Pier 39 San Francisco,San Francisco,4.5,Excellent,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-122.4204674,37.8074681
19,The Park Central San Francisco,630.56,Union Square Area San Francisco,San Francisco,4,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4030966,37.7865872
